px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.55463	-0.0221456	-2.89945	0.511367	1.07746	7.49691	0.101076	7.5	0.100001	-2.72698	-0.908982	0.42503
7.40858	-0.0631642	-2.88643	0.540577	1.04711	7.35046	0.0656199	7.35	0.0500011	-2.72695	-0.908974	6.90261e-310
7.29696	-0.139328	-2.84333	0.601973	1.06315	7.13188	-0.00451978	7.25	9.49949e-07	-2.00032	-1.00016	1.71478
7.17769	-0.183957	-2.81985	0.628399	1.03679	7.14965	-0.0559868	7.15	-0.0499992	-2.0003	-1.00015	6.90261e-310
7.00857	-0.226746	-2.8942	0.620398	0.952309	6.77233	-0.150907	7	-0.15	-2.72534	-1.8169	6.24773
6.87845	-0.300823	-2.87922	0.658242	0.938034	6.85872	-0.227918	6.85	-0.25	-2.72532	-1.81688	6.90261e-310
6.81948	-0.437022	-2.77342	0.779178	1.04325	6.70421	-0.347264	6.8	-0.349999	-1.00053	-2.00107	11.8864
6.72734	-0.51581	-2.74894	0.819863	1.03248	6.74687	-0.441006	6.75	-0.449999	-1.00054	-2.00107	6.90261e-310
6.62617	-0.593819	-2.75188	0.843971	0.99541	6.72084	-0.550555	6.65	-0.549999	-2.00016	-2.00017	1.02816
6.53945	-0.683352	-2.7331	0.88585	0.988173	6.54837	-0.624094	6.55	-0.65	-2.00016	-2.00017	6.90261e-310
6.48702	-0.82611	-2.70679	0.990359	1.06834	6.40088	-0.78131	6.5	-0.799999	-0.999884	-2.99963	4.88746
6.42083	-0.944667	-2.7066	1.0474	1.07191	6.44859	-0.960126	6.45	-0.949999	-0.999884	-2.99963	6.90261e-310
6.37443	-1.08674	-2.70961	1.13453	1.12018	6.37766	-1.0844	6.4	-1.1	-0.999984	-2.99995	1.40644
6.32589	-1.21671	-2.71296	1.19527	1.12462	6.35596	-1.24356	6.35	-1.25	-0.999969	-2.99992	6.90261e-310
6.32456	-1.39307	-2.74102	1.32415	1.22819	6.5527	-1.43518	6.35	-1.4	0	-3.00132	6.55347
6.30418	-1.53058	-2.74013	1.39118	1.23364	6.35503	-1.55184	6.35	-1.55	0	-3.00129	6.90261e-310
6.28294	-1.67219	-2.72756	1.45488	1.22789	6.33086	-1.6454	6.35	-1.65	0	-1.81769	0.0888773
6.28297	-1.80843	-2.70037	1.52584	1.2331	6.34356	-1.7483	6.35	-1.75	0	-1.81769	6.90261e-310
